DISKBSIZE,Disk Block Size VM-12-13-centos,vda,vda1,sr0
DISKBSIZE,T0954,10.0,10.0,0.0
DISKBSIZE,T0955,12.4,12.4,0.0
DISKBSIZE,T0956,8.3,8.3,0.0
DISKBSIZE,T0957,11.4,11.4,0.0
DISKBSIZE,T0958,9.5,9.5,0.0
DISKBSIZE,T0959,12.7,12.7,0.0
DISKBSIZE,T0960,9.6,9.6,0.0
DISKBSIZE,T0961,4.9,4.9,0.0
DISKBSIZE,T0962,9.6,9.6,0.0
DISKBSIZE,T0963,8.8,8.8,0.0
DISKBSIZE,T0964,9.8,9.8,0.0
DISKBSIZE,T0965,18.7,18.7,0.0
DISKBSIZE,T0966,8.2,8.2,0.0
DISKBSIZE,T0967,24.0,24.0,0.0
DISKBSIZE,T0968,9.7,9.7,0.0
DISKBSIZE,T0969,24.0,24.0,0.0
DISKBSIZE,T0970,9.6,9.6,0.0
DISKBSIZE,T0971,24.0,24.0,0.0
DISKBSIZE,T0972,6.9,6.9,0.0
DISKBSIZE,T0973,6.1,6.1,0.0
DISKBSIZE,T0974,9.8,9.8,0.0
DISKBSIZE,T0975,12.4,12.4,0.0
DISKBSIZE,T0976,8.8,8.8,0.0
DISKBSIZE,T0977,12.0,12.0,0.0
DISKBSIZE,T0978,7.0,7.1,0.0
DISKBSIZE,T0979,12.4,12.4,0.0
DISKBSIZE,T0980,9.8,9.8,0.0
DISKBSIZE,T0981,12.7,12.7,0.0
DISKBSIZE,T0982,7.8,7.8,0.0
DISKBSIZE,T0983,13.8,13.8,0.0
DISKBSIZE,T0984,9.3,9.3,0.0
DISKBSIZE,T0985,7.0,7.0,0.0
DISKBSIZE,T0986,9.6,9.6,0.0
DISKBSIZE,T0987,26.0,26.0,0.0
DISKBSIZE,T0988,9.8,9.8,0.0
DISKBSIZE,T0989,24.0,24.0,0.0
DISKBSIZE,T0990,10.3,10.3,0.0
DISKBSIZE,T0991,17.6,17.6,0.0
DISKBSIZE,T0992,8.0,8.0,0.0
DISKBSIZE,T0993,26.0,26.0,0.0
DISKBSIZE,T0994,9.6,9.6,0.0
DISKBSIZE,T0995,0.0,0.0,0.0
DISKBSIZE,T0996,6.1,6.1,0.0
DISKBSIZE,T0997,16.4,16.4,0.0
DISKBSIZE,T0998,13.6,16.2,0.0
DISKBSIZE,T0999,12.4,13.9,0.0
DISKBSIZE,T1000,10.0,10.0,0.0
