JFSFILE,JFS Filespace %Used VM-12-13-centos,/dev,/run,/
JFSFILE,T0104,0.0,0.0,9.6
JFSFILE,T0105,0.0,0.0,9.6
JFSFILE,T0106,0.0,0.0,9.6
JFSFILE,T0107,0.0,0.0,9.6
JFSFILE,T0108,0.0,0.0,9.6
JFSFILE,T0109,0.0,0.0,9.6
JFSFILE,T0110,0.0,0.0,9.6
JFSFILE,T0111,0.0,0.0,9.6
JFSFILE,T0112,0.0,0.0,9.6
JFSFILE,T0113,0.0,0.0,9.6
JFSFILE,T0114,0.0,0.0,9.6
JFSFILE,T0115,0.0,0.0,9.6
JFSFILE,T0116,0.0,0.0,9.6
JFSFILE,T0117,0.0,0.0,9.6
JFSFILE,T0118,0.0,0.0,9.6
JFSFILE,T0119,0.0,0.0,9.6
JFSFILE,T0120,0.0,0.0,9.6
JFSFILE,T0121,0.0,0.0,9.6
JFSFILE,T0122,0.0,0.0,9.6
JFSFILE,T0123,0.0,0.0,9.6
JFSFILE,T0124,0.0,0.0,9.6
JFSFILE,T0125,0.0,0.0,9.6
JFSFILE,T0126,0.0,0.0,9.6
JFSFILE,T0127,0.0,0.0,9.6
JFSFILE,T0128,0.0,0.0,9.6
JFSFILE,T0129,0.0,0.0,9.6
JFSFILE,T0130,0.0,0.0,9.6
JFSFILE,T0131,0.0,0.0,9.6
JFSFILE,T0132,0.0,0.0,9.6
JFSFILE,T0133,0.0,0.0,9.6
JFSFILE,T0134,0.0,0.0,9.6
JFSFILE,T0135,0.0,0.0,9.6
JFSFILE,T0136,0.0,0.0,9.6
JFSFILE,T0137,0.0,0.0,9.6
JFSFILE,T0138,0.0,0.0,9.6
JFSFILE,T0139,0.0,0.0,9.6
JFSFILE,T0140,0.0,0.0,9.6
JFSFILE,T0141,0.0,0.0,9.6
JFSFILE,T0142,0.0,0.0,9.6
JFSFILE,T0143,0.0,0.0,9.6
JFSFILE,T0144,0.0,0.0,9.6
JFSFILE,T0145,0.0,0.0,9.6
JFSFILE,T0146,0.0,0.0,9.6
JFSFILE,T0147,0.0,0.0,9.6
JFSFILE,T0148,0.0,0.0,9.6
JFSFILE,T0149,0.0,0.0,9.6
JFSFILE,T0150,0.0,0.0,9.6
JFSFILE,T0151,0.0,0.0,9.6
JFSFILE,T0152,0.0,0.0,9.6
JFSFILE,T0153,0.0,0.0,9.6
JFSFILE,T0154,0.0,0.0,9.6
JFSFILE,T0155,0.0,0.0,9.6
JFSFILE,T0156,0.0,0.0,9.6
JFSFILE,T0157,0.0,0.0,9.6
JFSFILE,T0158,0.0,0.0,9.6
JFSFILE,T0159,0.0,0.0,9.6
JFSFILE,T0160,0.0,0.0,9.6
JFSFILE,T0161,0.0,0.0,9.6
JFSFILE,T0162,0.0,0.0,9.6
JFSFILE,T0163,0.0,0.0,9.6
JFSFILE,T0164,0.0,0.0,9.6
JFSFILE,T0165,0.0,0.0,9.6
JFSFILE,T0166,0.0,0.0,9.6
JFSFILE,T0167,0.0,0.0,9.6
JFSFILE,T0168,0.0,0.0,9.6
JFSFILE,T0169,0.0,0.0,9.6
JFSFILE,T0170,0.0,0.0,9.6
JFSFILE,T0171,0.0,0.0,9.6
JFSFILE,T0172,0.0,0.0,9.6
JFSFILE,T0173,0.0,0.0,9.6
JFSFILE,T0174,0.0,0.0,9.6
JFSFILE,T0175,0.0,0.0,9.6
JFSFILE,T0176,0.0,0.0,9.6
JFSFILE,T0177,0.0,0.0,9.6
JFSFILE,T0178,0.0,0.0,9.6
JFSFILE,T0179,0.0,0.0,9.6
JFSFILE,T0180,0.0,0.0,9.6
JFSFILE,T0181,0.0,0.0,9.6
JFSFILE,T0182,0.0,0.0,9.6
JFSFILE,T0183,0.0,0.0,9.6
JFSFILE,T0184,0.0,0.0,9.6
JFSFILE,T0185,0.0,0.0,9.6
JFSFILE,T0186,0.0,0.0,9.6
JFSFILE,T0187,0.0,0.0,9.6
JFSFILE,T0188,0.0,0.0,9.6
JFSFILE,T0189,0.0,0.0,9.6
JFSFILE,T0190,0.0,0.0,9.6
JFSFILE,T0191,0.0,0.0,9.6
JFSFILE,T0192,0.0,0.0,9.6
JFSFILE,T0193,0.0,0.0,9.6
JFSFILE,T0194,0.0,0.0,9.6
JFSFILE,T0195,0.0,0.0,9.6
JFSFILE,T0196,0.0,0.0,9.6
JFSFILE,T0197,0.0,0.0,9.6
JFSFILE,T0198,0.0,0.0,9.6
JFSFILE,T0199,0.0,0.0,9.6
JFSFILE,T0200,0.0,0.0,9.6
JFSFILE,T0201,0.0,0.0,9.6
JFSFILE,T0202,0.0,0.0,9.6
JFSFILE,T0203,0.0,0.0,9.6
JFSFILE,T0204,0.0,0.0,9.6
JFSFILE,T0205,0.0,0.0,9.6
JFSFILE,T0206,0.0,0.0,9.6
JFSFILE,T0207,0.0,0.0,9.6
JFSFILE,T0208,0.0,0.0,9.6
JFSFILE,T0209,0.0,0.0,9.6
JFSFILE,T0210,0.0,0.0,9.6
JFSFILE,T0211,0.0,0.0,9.6
JFSFILE,T0212,0.0,0.0,9.6
JFSFILE,T0213,0.0,0.0,9.6
JFSFILE,T0214,0.0,0.0,9.6
JFSFILE,T0215,0.0,0.0,9.6
JFSFILE,T0216,0.0,0.0,9.6
JFSFILE,T0217,0.0,0.0,9.6
JFSFILE,T0218,0.0,0.0,9.6
JFSFILE,T0219,0.0,0.0,9.6
JFSFILE,T0220,0.0,0.0,9.6
JFSFILE,T0221,0.0,0.0,9.6
JFSFILE,T0222,0.0,0.0,9.6
JFSFILE,T0223,0.0,0.0,9.6
JFSFILE,T0224,0.0,0.0,9.6
JFSFILE,T0225,0.0,0.0,9.6
JFSFILE,T0226,0.0,0.0,9.6
JFSFILE,T0227,0.0,0.0,9.6
JFSFILE,T0228,0.0,0.0,9.6
JFSFILE,T0229,0.0,0.0,9.6
JFSFILE,T0230,0.0,0.0,9.6
JFSFILE,T0231,0.0,0.0,9.6
JFSFILE,T0232,0.0,0.0,9.6
JFSFILE,T0233,0.0,0.0,9.6
JFSFILE,T0234,0.0,0.0,9.6
JFSFILE,T0235,0.0,0.0,9.6
JFSFILE,T0236,0.0,0.0,9.6
JFSFILE,T0237,0.0,0.0,9.6
JFSFILE,T0238,0.0,0.0,9.6
JFSFILE,T0239,0.0,0.0,9.6
JFSFILE,T0240,0.0,0.0,9.6
JFSFILE,T0241,0.0,0.0,9.6
JFSFILE,T0242,0.0,0.0,9.6
JFSFILE,T0243,0.0,0.0,9.6
JFSFILE,T0244,0.0,0.0,9.6
JFSFILE,T0245,0.0,0.0,9.6
JFSFILE,T0246,0.0,0.0,9.6
JFSFILE,T0247,0.0,0.0,9.6
JFSFILE,T0248,0.0,0.0,9.6
JFSFILE,T0249,0.0,0.0,9.6
JFSFILE,T0250,0.0,0.0,9.6
JFSFILE,T0251,0.0,0.0,9.6
JFSFILE,T0252,0.0,0.0,9.6
JFSFILE,T0253,0.0,0.0,9.6
JFSFILE,T0254,0.0,0.0,9.6
JFSFILE,T0255,0.0,0.0,9.6
JFSFILE,T0256,0.0,0.0,9.6
JFSFILE,T0257,0.0,0.0,9.6
JFSFILE,T0258,0.0,0.0,9.6
JFSFILE,T0259,0.0,0.0,9.6
JFSFILE,T0260,0.0,0.0,9.6
JFSFILE,T0261,0.0,0.0,9.6
JFSFILE,T0262,0.0,0.0,9.6
JFSFILE,T0263,0.0,0.0,9.6
JFSFILE,T0264,0.0,0.0,9.6
JFSFILE,T0265,0.0,0.0,9.6
JFSFILE,T0266,0.0,0.0,9.6
JFSFILE,T0267,0.0,0.0,9.6
JFSFILE,T0268,0.0,0.0,9.6
JFSFILE,T0269,0.0,0.0,9.6
JFSFILE,T0270,0.0,0.0,9.6
JFSFILE,T0271,0.0,0.0,9.6
JFSFILE,T0272,0.0,0.0,9.6
JFSFILE,T0273,0.0,0.0,9.6
JFSFILE,T0274,0.0,0.0,9.6
JFSFILE,T0275,0.0,0.0,9.6
JFSFILE,T0276,0.0,0.0,9.6
JFSFILE,T0277,0.0,0.0,9.6
JFSFILE,T0278,0.0,0.0,9.6
JFSFILE,T0279,0.0,0.0,9.6
JFSFILE,T0280,0.0,0.0,9.6
JFSFILE,T0281,0.0,0.0,9.6
JFSFILE,T0282,0.0,0.0,9.6
JFSFILE,T0283,0.0,0.0,9.6
JFSFILE,T0284,0.0,0.0,9.6
JFSFILE,T0285,0.0,0.0,9.6
JFSFILE,T0286,0.0,0.0,9.6
JFSFILE,T0287,0.0,0.0,9.6
