PROC,Processes VM-12-13-centos,Runnable,Blocked,pswitch,syscall,read,write,fork,exec,sem,msg
PROC,T0235,1,0,1082.1,-1.0,-1.0,-1.0,1.8,-1.0,-1.0,-1.0
PROC,T0236,2,0,1552.9,-1.0,-1.0,-1.0,7.2,-1.0,-1.0,-1.0
PROC,T0237,1,0,1164.0,-1.0,-1.0,-1.0,2.6,-1.0,-1.0,-1.0
PROC,T0238,1,0,1277.8,-1.0,-1.0,-1.0,6.4,-1.0,-1.0,-1.0
PROC,T0239,1,0,1108.8,-1.0,-1.0,-1.0,4.6,-1.0,-1.0,-1.0
PROC,T0240,1,0,1287.9,-1.0,-1.0,-1.0,6.4,-1.0,-1.0,-1.0
PROC,T0241,1,0,1093.0,-1.0,-1.0,-1.0,1.8,-1.0,-1.0,-1.0
PROC,T0242,1,0,1307.8,-1.0,-1.0,-1.0,6.6,-1.0,-1.0,-1.0
PROC,T0243,1,0,1121.4,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0
PROC,T0244,1,0,1280.2,-1.0,-1.0,-1.0,6.8,-1.0,-1.0,-1.0
PROC,T0245,1,0,1070.6,-1.0,-1.0,-1.0,1.8,-1.0,-1.0,-1.0
PROC,T0246,1,0,1425.6,-1.0,-1.0,-1.0,8.8,-1.0,-1.0,-1.0
PROC,T0247,1,0,1062.1,-1.0,-1.0,-1.0,1.8,-1.0,-1.0,-1.0
PROC,T0248,1,0,1349.1,-1.0,-1.0,-1.0,7.4,-1.0,-1.0,-1.0
PROC,T0249,1,0,1183.5,-1.0,-1.0,-1.0,2.6,-1.0,-1.0,-1.0
PROC,T0250,1,0,1248.1,-1.0,-1.0,-1.0,6.4,-1.0,-1.0,-1.0
PROC,T0251,1,0,1113.2,-1.0,-1.0,-1.0,4.2,-1.0,-1.0,-1.0
PROC,T0252,1,0,1265.4,-1.0,-1.0,-1.0,6.4,-1.0,-1.0,-1.0
PROC,T0253,1,0,1050.0,-1.0,-1.0,-1.0,1.8,-1.0,-1.0,-1.0
PROC,T0254,1,0,1277.8,-1.0,-1.0,-1.0,6.4,-1.0,-1.0,-1.0
PROC,T0255,1,0,1098.0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0
PROC,T0256,1,0,1295.3,-1.0,-1.0,-1.0,6.4,-1.0,-1.0,-1.0
PROC,T0257,1,0,1072.8,-1.0,-1.0,-1.0,1.8,-1.0,-1.0,-1.0
PROC,T0258,1,0,1343.8,-1.0,-1.0,-1.0,8.6,-1.0,-1.0,-1.0
PROC,T0259,1,0,1056.3,-1.0,-1.0,-1.0,1.8,-1.0,-1.0,-1.0
PROC,T0260,1,0,1430.9,-1.0,-1.0,-1.0,7.2,-1.0,-1.0,-1.0
PROC,T0261,1,0,1195.5,-1.0,-1.0,-1.0,2.6,-1.0,-1.0,-1.0
PROC,T0262,1,0,1290.2,-1.0,-1.0,-1.0,6.4,-1.0,-1.0,-1.0
PROC,T0263,1,0,1100.4,-1.0,-1.0,-1.0,4.2,-1.0,-1.0,-1.0
PROC,T0264,1,0,1263.9,-1.0,-1.0,-1.0,6.4,-1.0,-1.0,-1.0
PROC,T0265,1,0,1052.2,-1.0,-1.0,-1.0,1.8,-1.0,-1.0,-1.0
PROC,T0266,1,0,1262.6,-1.0,-1.0,-1.0,6.4,-1.0,-1.0,-1.0
PROC,T0267,1,0,1145.4,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0
