DISKXFER,Disk transfers per second VM-12-13-centos,vda,vda1,sr0
DISKXFER,T0382,8.8,8.8,0.0
DISKXFER,T0383,2.4,2.4,0.0
DISKXFER,T0384,20.2,20.2,0.0
DISKXFER,T0385,0.4,0.4,0.0
DISKXFER,T0386,9.8,9.8,0.0
DISKXFER,T0387,0.4,0.4,0.0
DISKXFER,T0388,14.2,14.2,0.0
DISKXFER,T0389,1.0,1.0,0.0
DISKXFER,T0390,11.4,11.4,0.0
DISKXFER,T0391,24.4,24.4,0.0
DISKXFER,T0392,10.2,10.2,0.0
DISKXFER,T0393,0.4,0.4,0.0
DISKXFER,T0394,9.8,9.8,0.0
DISKXFER,T0395,0.4,0.4,0.0
DISKXFER,T0396,8.4,8.4,0.0
DISKXFER,T0397,2.0,2.0,0.0
DISKXFER,T0398,13.2,13.2,0.0
DISKXFER,T0399,2.4,2.4,0.0
DISKXFER,T0400,8.4,8.4,0.0
DISKXFER,T0401,1.8,1.8,0.0
DISKXFER,T0402,22.8,22.8,0.0
DISKXFER,T0403,2.6,2.6,0.0
DISKXFER,T0404,8.2,8.2,0.0
DISKXFER,T0405,2.2,2.2,0.0
DISKXFER,T0406,8.0,8.0,0.0
DISKXFER,T0407,0.4,0.4,0.0
DISKXFER,T0408,10.4,10.4,0.0
DISKXFER,T0409,5.0,5.0,0.0
DISKXFER,T0410,10.2,10.2,0.0
DISKXFER,T0411,0.4,0.4,0.0
DISKXFER,T0412,9.8,9.8,0.0
DISKXFER,T0413,0.6,0.6,0.0
DISKXFER,T0414,10.2,10.2,0.0
DISKXFER,T0415,15.8,15.8,0.0
DISKXFER,T0416,10.6,10.6,0.0
DISKXFER,T0417,0.4,0.4,0.0
DISKXFER,T0418,8.0,8.0,0.0
DISKXFER,T0419,1.8,1.8,0.0
DISKXFER,T0420,9.0,9.0,0.0
DISKXFER,T0421,1.8,1.8,0.0
DISKXFER,T0422,19.6,19.6,0.0
DISKXFER,T0423,1.8,1.8,0.0
