DISKWRITE,Disk Write KB/s VM-12-13-centos,vda,vda1,sr0
DISKWRITE,T0351,9.6,9.6,0.0
DISKWRITE,T0352,94.3,94.3,0.0
DISKWRITE,T0353,17.6,17.6,0.0
DISKWRITE,T0354,96.7,96.7,0.0
DISKWRITE,T0355,28.8,28.8,0.0
DISKWRITE,T0356,81.5,81.5,0.0
DISKWRITE,T0357,22.4,22.4,0.0
DISKWRITE,T0358,83.9,83.9,0.0
DISKWRITE,T0359,27.2,27.2,0.0
DISKWRITE,T0360,148.6,148.6,0.0
DISKWRITE,T0361,39.2,39.2,0.0
DISKWRITE,T0362,75.8,75.8,0.0
DISKWRITE,T0363,28.0,28.0,0.0
DISKWRITE,T0364,76.7,76.7,0.0
DISKWRITE,T0365,9.6,9.6,0.0
DISKWRITE,T0366,113.5,113.5,0.0
DISKWRITE,T0367,35.2,35.2,0.0
DISKWRITE,T0368,106.0,106.0,0.0
DISKWRITE,T0369,14.4,14.4,0.0
DISKWRITE,T0370,117.3,117.3,0.0
DISKWRITE,T0371,9.6,9.6,0.0
DISKWRITE,T0372,131.1,131.1,0.0
DISKWRITE,T0373,8.8,8.8,0.0
DISKWRITE,T0374,92.7,92.7,0.0
DISKWRITE,T0375,28.8,28.8,0.0
DISKWRITE,T0376,85.5,85.5,0.0
DISKWRITE,T0377,21.6,21.6,0.0
DISKWRITE,T0378,90.3,90.3,0.0
DISKWRITE,T0379,22.4,22.4,0.0
DISKWRITE,T0380,82.3,82.3,0.0
DISKWRITE,T0381,55.9,55.9,0.0
DISKWRITE,T0382,83.9,83.9,0.0
DISKWRITE,T0383,32.0,32.0,0.0
DISKWRITE,T0384,128.7,128.7,0.0
DISKWRITE,T0385,12.8,12.8,0.0
DISKWRITE,T0386,93.5,93.5,0.0
DISKWRITE,T0387,10.4,10.4,0.0
DISKWRITE,T0388,118.3,118.3,0.0
DISKWRITE,T0389,16.8,16.8,0.0
DISKWRITE,T0390,119.9,119.9,0.0
DISKWRITE,T0391,114.3,114.3,0.0
DISKWRITE,T0392,103.1,103.1,0.0
DISKWRITE,T0393,10.4,10.4,0.0
DISKWRITE,T0394,93.5,93.5,0.0
DISKWRITE,T0395,10.4,10.4,0.0
DISKWRITE,T0396,75.1,75.1,0.0
DISKWRITE,T0397,27.2,27.2,0.0
DISKWRITE,T0398,106.3,106.3,0.0
DISKWRITE,T0399,28.0,28.0,0.0
DISKWRITE,T0400,84.7,84.7,0.0
DISKWRITE,T0401,22.4,22.4,0.0
DISKWRITE,T0402,151.8,151.8,0.0
DISKWRITE,T0403,33.6,33.6,0.0
DISKWRITE,T0404,77.5,77.5,0.0
DISKWRITE,T0405,28.0,28.0,0.0
DISKWRITE,T0406,76.7,76.7,0.0
DISKWRITE,T0407,9.6,9.6,0.0
DISKWRITE,T0408,105.5,105.5,0.0
DISKWRITE,T0409,34.4,34.4,0.0
DISKWRITE,T0410,97.5,97.5,0.0
DISKWRITE,T0411,10.4,10.4,0.0
DISKWRITE,T0412,94.9,94.9,0.0
DISKWRITE,T0413,10.4,10.4,0.0
DISKWRITE,T0414,99.9,99.9,0.0
DISKWRITE,T0415,81.5,81.5,0.0
DISKWRITE,T0416,107.8,107.8,0.0
DISKWRITE,T0417,9.6,9.6,0.0
DISKWRITE,T0418,72.7,72.7,0.0
DISKWRITE,T0419,21.6,21.6,0.0
DISKWRITE,T0420,87.9,87.9,0.0
DISKWRITE,T0421,22.4,22.4,0.0
DISKWRITE,T0422,139.1,139.1,0.0
DISKWRITE,T0423,23.2,23.2,0.0
DISKWRITE,T0424,81.5,81.5,0.0
DISKWRITE,T0425,27.2,27.2,0.0
DISKWRITE,T0426,97.5,97.5,0.0
DISKWRITE,T0427,27.2,27.2,0.0
DISKWRITE,T0428,90.3,90.3,0.0
DISKWRITE,T0429,51.1,51.1,0.0
DISKWRITE,T0430,76.7,76.7,0.0
DISKWRITE,T0431,9.6,9.6,0.0
DISKWRITE,T0432,176.6,176.6,0.0
DISKWRITE,T0433,9.6,9.6,0.0
DISKWRITE,T0434,95.9,95.9,0.0
DISKWRITE,T0435,10.4,10.4,0.0
DISKWRITE,T0436,94.3,94.3,0.0
DISKWRITE,T0437,43.2,43.2,0.0
DISKWRITE,T0438,103.9,103.9,0.0
DISKWRITE,T0439,9.6,9.6,0.0
DISKWRITE,T0440,95.1,95.1,0.0
DISKWRITE,T0441,0.0,0.0,0.0
DISKWRITE,T0442,83.1,83.1,0.0
DISKWRITE,T0443,28.8,28.8,0.0
DISKWRITE,T0444,153.4,153.4,0.0
DISKWRITE,T0445,25.6,25.6,0.0
DISKWRITE,T0446,80.7,80.7,0.0
DISKWRITE,T0447,28.0,28.0,0.0
DISKWRITE,T0448,77.5,77.5,0.0
DISKWRITE,T0449,35.2,35.2,0.0
DISKWRITE,T0450,86.3,86.3,0.0
DISKWRITE,T0451,51.9,51.9,0.0
DISKWRITE,T0452,79.9,79.9,0.0
DISKWRITE,T0453,13.6,13.6,0.0
DISKWRITE,T0454,129.4,129.4,0.0
DISKWRITE,T0455,7.2,7.2,0.0
DISKWRITE,T0456,224.6,224.6,0.0
DISKWRITE,T0457,12.8,12.8,0.0
DISKWRITE,T0458,125.5,125.5,0.0
DISKWRITE,T0459,13.6,13.6,0.0
DISKWRITE,T0460,99.9,99.9,0.0
DISKWRITE,T0461,13.6,13.6,0.0
DISKWRITE,T0462,107.1,107.1,0.0
DISKWRITE,T0463,5.6,5.6,0.0
DISKWRITE,T0464,85.5,85.5,0.0
DISKWRITE,T0465,46.4,46.4,0.0
DISKWRITE,T0466,87.9,87.9,0.0
DISKWRITE,T0467,24.8,24.8,0.0
DISKWRITE,T0468,128.7,128.7,0.0
DISKWRITE,T0469,30.4,30.4,0.0
DISKWRITE,T0470,83.9,83.9,0.0
DISKWRITE,T0471,30.4,30.4,0.0
DISKWRITE,T0472,95.1,95.1,0.0
DISKWRITE,T0473,33.6,33.6,0.0
DISKWRITE,T0474,84.7,84.7,0.0
DISKWRITE,T0475,9.6,9.6,0.0
DISKWRITE,T0476,94.3,94.3,0.0
DISKWRITE,T0477,16.8,16.8,0.0
DISKWRITE,T0478,98.3,98.3,0.0
DISKWRITE,T0479,32.8,32.8,0.0
DISKWRITE,T0480,149.5,149.5,0.0
DISKWRITE,T0481,9.6,9.6,0.0
DISKWRITE,T0482,94.3,94.3,0.0
DISKWRITE,T0483,9.6,9.6,0.0
DISKWRITE,T0484,103.0,103.0,0.0
DISKWRITE,T0485,0.0,0.0,0.0
DISKWRITE,T0486,120.7,120.7,0.0
DISKWRITE,T0487,30.4,30.4,0.0
DISKWRITE,T0488,84.7,84.7,0.0
DISKWRITE,T0489,22.4,22.4,0.0
DISKWRITE,T0490,87.1,87.1,0.0
DISKWRITE,T0491,28.8,28.8,0.0
DISKWRITE,T0492,112.7,112.7,0.0
DISKWRITE,T0493,50.3,50.3,0.0
DISKWRITE,T0494,82.3,82.3,0.0
DISKWRITE,T0495,30.4,30.4,0.0
DISKWRITE,T0496,76.7,76.7,0.0
DISKWRITE,T0497,15.2,15.2,0.0
DISKWRITE,T0498,101.5,101.5,0.0
DISKWRITE,T0499,10.4,10.4,0.0
DISKWRITE,T0500,115.1,115.1,0.0
DISKWRITE,T0501,15.2,15.2,0.0
DISKWRITE,T0502,96.7,96.7,0.0
DISKWRITE,T0503,9.6,9.6,0.0
DISKWRITE,T0504,154.2,154.2,0.0
DISKWRITE,T0505,9.6,9.6,0.0
DISKWRITE,T0506,95.9,95.9,0.0
DISKWRITE,T0507,16.8,16.8,0.0
DISKWRITE,T0508,87.9,87.9,0.0
DISKWRITE,T0509,24.0,24.0,0.0
DISKWRITE,T0510,100.7,100.7,0.0
DISKWRITE,T0511,28.0,28.0,0.0
DISKWRITE,T0512,83.1,83.1,0.0
DISKWRITE,T0513,28.8,28.8,0.0
DISKWRITE,T0514,103.1,103.1,0.0
DISKWRITE,T0515,33.6,33.6,0.0
DISKWRITE,T0516,168.6,168.6,0.0
DISKWRITE,T0517,30.4,30.4,0.0
DISKWRITE,T0518,83.1,83.1,0.0
DISKWRITE,T0519,31.2,31.2,0.0
DISKWRITE,T0520,77.5,77.5,0.0
DISKWRITE,T0521,37.6,37.6,0.0
DISKWRITE,T0522,106.3,106.3,0.0
DISKWRITE,T0523,10.4,10.4,0.0
DISKWRITE,T0524,97.5,97.5,0.0
DISKWRITE,T0525,10.4,10.4,0.0
DISKWRITE,T0526,95.1,95.1,0.0
DISKWRITE,T0527,15.2,15.2,0.0
DISKWRITE,T0528,171.8,171.8,0.0
DISKWRITE,T0529,10.4,10.4,0.0
DISKWRITE,T0530,94.3,94.3,0.0
DISKWRITE,T0531,9.6,9.6,0.0
DISKWRITE,T0532,73.5,73.5,0.0
DISKWRITE,T0533,22.4,22.4,0.0
DISKWRITE,T0534,107.9,107.9,0.0
DISKWRITE,T0535,52.7,52.7,0.0
DISKWRITE,T0536,86.3,86.3,0.0
DISKWRITE,T0537,27.2,27.2,0.0
DISKWRITE,T0538,78.3,78.3,0.0
DISKWRITE,T0539,27.2,27.2,0.0
DISKWRITE,T0540,126.3,126.3,0.0
DISKWRITE,T0541,41.6,41.6,0.0
DISKWRITE,T0542,95.9,95.9,0.0
DISKWRITE,T0543,15.2,15.2,0.0
DISKWRITE,T0544,94.3,94.3,0.0
DISKWRITE,T0545,9.6,9.6,0.0
DISKWRITE,T0546,112.7,112.7,0.0
DISKWRITE,T0547,12.0,12.0,0.0
DISKWRITE,T0548,102.3,102.3,0.0
DISKWRITE,T0549,36.0,36.0,0.0
DISKWRITE,T0550,99.1,99.1,0.0
DISKWRITE,T0551,10.4,10.4,0.0
DISKWRITE,T0552,114.3,114.3,0.0
DISKWRITE,T0553,25.5,25.5,0.0
DISKWRITE,T0554,84.7,84.7,0.0
