ZZZZ,taskId,date,day,full_time
ZZZZ,T0173,11:02:00,04-JUN-2023,2023-06-04 11:02:00
ZZZZ,T0174,11:02:05,04-JUN-2023,2023-06-04 11:02:05
ZZZZ,T0175,11:02:10,04-JUN-2023,2023-06-04 11:02:10
ZZZZ,T0176,11:02:15,04-JUN-2023,2023-06-04 11:02:15
ZZZZ,T0177,11:02:20,04-JUN-2023,2023-06-04 11:02:20
ZZZZ,T0178,11:02:25,04-JUN-2023,2023-06-04 11:02:25
ZZZZ,T0179,11:02:30,04-JUN-2023,2023-06-04 11:02:30
ZZZZ,T0180,11:02:35,04-JUN-2023,2023-06-04 11:02:35
ZZZZ,T0181,11:02:40,04-JUN-2023,2023-06-04 11:02:40
ZZZZ,T0182,11:02:45,04-JUN-2023,2023-06-04 11:02:45
ZZZZ,T0183,11:02:50,04-JUN-2023,2023-06-04 11:02:50
ZZZZ,T0184,11:02:55,04-JUN-2023,2023-06-04 11:02:55
ZZZZ,T0185,11:03:00,04-JUN-2023,2023-06-04 11:03:00
ZZZZ,T0186,11:03:05,04-JUN-2023,2023-06-04 11:03:05
ZZZZ,T0187,11:03:10,04-JUN-2023,2023-06-04 11:03:10
ZZZZ,T0188,11:03:15,04-JUN-2023,2023-06-04 11:03:15
ZZZZ,T0189,11:03:20,04-JUN-2023,2023-06-04 11:03:20
ZZZZ,T0190,11:03:25,04-JUN-2023,2023-06-04 11:03:25
ZZZZ,T0191,11:03:29,04-JUN-2023,2023-06-04 11:03:29
ZZZZ,T0192,11:03:34,04-JUN-2023,2023-06-04 11:03:34
ZZZZ,T0193,11:03:39,04-JUN-2023,2023-06-04 11:03:39
ZZZZ,T0194,11:03:44,04-JUN-2023,2023-06-04 11:03:44
ZZZZ,T0195,11:03:49,04-JUN-2023,2023-06-04 11:03:49
ZZZZ,T0196,11:03:54,04-JUN-2023,2023-06-04 11:03:54
ZZZZ,T0197,11:03:59,04-JUN-2023,2023-06-04 11:03:59
ZZZZ,T0198,11:04:04,04-JUN-2023,2023-06-04 11:04:04
ZZZZ,T0199,11:04:09,04-JUN-2023,2023-06-04 11:04:09
ZZZZ,T0200,11:04:14,04-JUN-2023,2023-06-04 11:04:14
ZZZZ,T0201,11:04:19,04-JUN-2023,2023-06-04 11:04:19
ZZZZ,T0202,11:04:24,04-JUN-2023,2023-06-04 11:04:24
ZZZZ,T0203,11:04:29,04-JUN-2023,2023-06-04 11:04:29
ZZZZ,T0204,11:04:34,04-JUN-2023,2023-06-04 11:04:34
ZZZZ,T0205,11:04:39,04-JUN-2023,2023-06-04 11:04:39
ZZZZ,T0206,11:04:44,04-JUN-2023,2023-06-04 11:04:44
ZZZZ,T0207,11:04:49,04-JUN-2023,2023-06-04 11:04:49
ZZZZ,T0208,11:04:54,04-JUN-2023,2023-06-04 11:04:54
ZZZZ,T0209,11:04:59,04-JUN-2023,2023-06-04 11:04:59
ZZZZ,T0210,11:05:04,04-JUN-2023,2023-06-04 11:05:04
ZZZZ,T0211,11:05:09,04-JUN-2023,2023-06-04 11:05:09
ZZZZ,T0212,11:05:14,04-JUN-2023,2023-06-04 11:05:14
ZZZZ,T0213,11:05:19,04-JUN-2023,2023-06-04 11:05:19
ZZZZ,T0214,11:05:24,04-JUN-2023,2023-06-04 11:05:24
ZZZZ,T0215,11:05:29,04-JUN-2023,2023-06-04 11:05:29
ZZZZ,T0216,11:05:34,04-JUN-2023,2023-06-04 11:05:34
ZZZZ,T0217,11:05:39,04-JUN-2023,2023-06-04 11:05:39
ZZZZ,T0218,11:05:44,04-JUN-2023,2023-06-04 11:05:44
ZZZZ,T0219,11:05:49,04-JUN-2023,2023-06-04 11:05:49
ZZZZ,T0220,11:05:54,04-JUN-2023,2023-06-04 11:05:54
ZZZZ,T0221,11:05:59,04-JUN-2023,2023-06-04 11:05:59
ZZZZ,T0222,11:06:04,04-JUN-2023,2023-06-04 11:06:04
ZZZZ,T0223,11:06:09,04-JUN-2023,2023-06-04 11:06:09
ZZZZ,T0224,11:06:14,04-JUN-2023,2023-06-04 11:06:14
ZZZZ,T0225,11:06:19,04-JUN-2023,2023-06-04 11:06:19
ZZZZ,T0226,11:06:24,04-JUN-2023,2023-06-04 11:06:24
ZZZZ,T0227,11:06:29,04-JUN-2023,2023-06-04 11:06:29
ZZZZ,T0228,11:06:34,04-JUN-2023,2023-06-04 11:06:34
ZZZZ,T0229,11:06:39,04-JUN-2023,2023-06-04 11:06:39
ZZZZ,T0230,11:06:44,04-JUN-2023,2023-06-04 11:06:44
ZZZZ,T0231,11:06:49,04-JUN-2023,2023-06-04 11:06:49
ZZZZ,T0232,11:06:54,04-JUN-2023,2023-06-04 11:06:54
ZZZZ,T0233,11:06:59,04-JUN-2023,2023-06-04 11:06:59
ZZZZ,T0234,11:07:04,04-JUN-2023,2023-06-04 11:07:04
ZZZZ,T0235,11:07:09,04-JUN-2023,2023-06-04 11:07:09
ZZZZ,T0236,11:07:14,04-JUN-2023,2023-06-04 11:07:14
ZZZZ,T0237,11:07:19,04-JUN-2023,2023-06-04 11:07:19
ZZZZ,T0238,11:07:24,04-JUN-2023,2023-06-04 11:07:24
ZZZZ,T0239,11:07:29,04-JUN-2023,2023-06-04 11:07:29
ZZZZ,T0240,11:07:34,04-JUN-2023,2023-06-04 11:07:34
ZZZZ,T0241,11:07:39,04-JUN-2023,2023-06-04 11:07:39
ZZZZ,T0242,11:07:44,04-JUN-2023,2023-06-04 11:07:44
ZZZZ,T0243,11:07:49,04-JUN-2023,2023-06-04 11:07:49
ZZZZ,T0244,11:07:54,04-JUN-2023,2023-06-04 11:07:54
ZZZZ,T0245,11:07:59,04-JUN-2023,2023-06-04 11:07:59
ZZZZ,T0246,11:08:04,04-JUN-2023,2023-06-04 11:08:04
ZZZZ,T0247,11:08:09,04-JUN-2023,2023-06-04 11:08:09
ZZZZ,T0248,11:08:14,04-JUN-2023,2023-06-04 11:08:14
ZZZZ,T0249,11:08:19,04-JUN-2023,2023-06-04 11:08:19
ZZZZ,T0250,11:08:24,04-JUN-2023,2023-06-04 11:08:24
ZZZZ,T0251,11:08:29,04-JUN-2023,2023-06-04 11:08:29
ZZZZ,T0252,11:08:34,04-JUN-2023,2023-06-04 11:08:34
ZZZZ,T0253,11:08:39,04-JUN-2023,2023-06-04 11:08:39
ZZZZ,T0254,11:08:44,04-JUN-2023,2023-06-04 11:08:44
ZZZZ,T0255,11:08:49,04-JUN-2023,2023-06-04 11:08:49
ZZZZ,T0256,11:08:54,04-JUN-2023,2023-06-04 11:08:54
ZZZZ,T0257,11:08:59,04-JUN-2023,2023-06-04 11:08:59
ZZZZ,T0258,11:09:04,04-JUN-2023,2023-06-04 11:09:04
ZZZZ,T0259,11:09:09,04-JUN-2023,2023-06-04 11:09:09
ZZZZ,T0260,11:09:14,04-JUN-2023,2023-06-04 11:09:14
ZZZZ,T0261,11:09:19,04-JUN-2023,2023-06-04 11:09:19
ZZZZ,T0262,11:09:24,04-JUN-2023,2023-06-04 11:09:24
ZZZZ,T0263,11:09:29,04-JUN-2023,2023-06-04 11:09:29
ZZZZ,T0264,11:09:34,04-JUN-2023,2023-06-04 11:09:34
ZZZZ,T0265,11:09:39,04-JUN-2023,2023-06-04 11:09:39
ZZZZ,T0266,11:09:44,04-JUN-2023,2023-06-04 11:09:44
ZZZZ,T0267,11:09:49,04-JUN-2023,2023-06-04 11:09:49
ZZZZ,T0268,11:09:54,04-JUN-2023,2023-06-04 11:09:54
ZZZZ,T0269,11:09:59,04-JUN-2023,2023-06-04 11:09:59
ZZZZ,T0270,11:10:04,04-JUN-2023,2023-06-04 11:10:04
ZZZZ,T0271,11:10:09,04-JUN-2023,2023-06-04 11:10:09
ZZZZ,T0272,11:10:14,04-JUN-2023,2023-06-04 11:10:14
ZZZZ,T0273,11:10:19,04-JUN-2023,2023-06-04 11:10:19
ZZZZ,T0274,11:10:24,04-JUN-2023,2023-06-04 11:10:24
ZZZZ,T0275,11:10:29,04-JUN-2023,2023-06-04 11:10:29
ZZZZ,T0276,11:10:34,04-JUN-2023,2023-06-04 11:10:34
ZZZZ,T0277,11:10:39,04-JUN-2023,2023-06-04 11:10:39
ZZZZ,T0278,11:10:44,04-JUN-2023,2023-06-04 11:10:44
ZZZZ,T0279,11:10:49,04-JUN-2023,2023-06-04 11:10:49
ZZZZ,T0280,11:10:54,04-JUN-2023,2023-06-04 11:10:54
ZZZZ,T0281,11:10:59,04-JUN-2023,2023-06-04 11:10:59
ZZZZ,T0282,11:11:04,04-JUN-2023,2023-06-04 11:11:04
ZZZZ,T0283,11:11:09,04-JUN-2023,2023-06-04 11:11:09
ZZZZ,T0284,11:11:14,04-JUN-2023,2023-06-04 11:11:14
ZZZZ,T0285,11:11:19,04-JUN-2023,2023-06-04 11:11:19
ZZZZ,T0286,11:11:24,04-JUN-2023,2023-06-04 11:11:24
ZZZZ,T0287,11:11:29,04-JUN-2023,2023-06-04 11:11:29
ZZZZ,T0288,11:11:34,04-JUN-2023,2023-06-04 11:11:34
ZZZZ,T0289,11:11:39,04-JUN-2023,2023-06-04 11:11:39
ZZZZ,T0290,11:11:44,04-JUN-2023,2023-06-04 11:11:44
ZZZZ,T0291,11:11:49,04-JUN-2023,2023-06-04 11:11:49
ZZZZ,T0292,11:11:54,04-JUN-2023,2023-06-04 11:11:54
ZZZZ,T0293,11:11:59,04-JUN-2023,2023-06-04 11:11:59
ZZZZ,T0294,11:12:04,04-JUN-2023,2023-06-04 11:12:04
ZZZZ,T0295,11:12:09,04-JUN-2023,2023-06-04 11:12:09
ZZZZ,T0296,11:12:14,04-JUN-2023,2023-06-04 11:12:14
ZZZZ,T0297,11:12:19,04-JUN-2023,2023-06-04 11:12:19
ZZZZ,T0298,11:12:24,04-JUN-2023,2023-06-04 11:12:24
ZZZZ,T0299,11:12:29,04-JUN-2023,2023-06-04 11:12:29
ZZZZ,T0300,11:12:34,04-JUN-2023,2023-06-04 11:12:34
ZZZZ,T0301,11:12:39,04-JUN-2023,2023-06-04 11:12:39
ZZZZ,T0302,11:12:44,04-JUN-2023,2023-06-04 11:12:44
ZZZZ,T0303,11:12:49,04-JUN-2023,2023-06-04 11:12:49
ZZZZ,T0304,11:12:54,04-JUN-2023,2023-06-04 11:12:54
ZZZZ,T0305,11:12:59,04-JUN-2023,2023-06-04 11:12:59
ZZZZ,T0306,11:13:04,04-JUN-2023,2023-06-04 11:13:04
ZZZZ,T0307,11:13:09,04-JUN-2023,2023-06-04 11:13:09
ZZZZ,T0308,11:13:14,04-JUN-2023,2023-06-04 11:13:14
ZZZZ,T0309,11:13:19,04-JUN-2023,2023-06-04 11:13:19
ZZZZ,T0310,11:13:24,04-JUN-2023,2023-06-04 11:13:24
ZZZZ,T0311,11:13:29,04-JUN-2023,2023-06-04 11:13:29
ZZZZ,T0312,11:13:34,04-JUN-2023,2023-06-04 11:13:34
ZZZZ,T0313,11:13:40,04-JUN-2023,2023-06-04 11:13:40
ZZZZ,T0314,11:13:45,04-JUN-2023,2023-06-04 11:13:45
ZZZZ,T0315,11:13:50,04-JUN-2023,2023-06-04 11:13:50
ZZZZ,T0316,11:13:55,04-JUN-2023,2023-06-04 11:13:55
ZZZZ,T0317,11:14:00,04-JUN-2023,2023-06-04 11:14:00
ZZZZ,T0318,11:14:05,04-JUN-2023,2023-06-04 11:14:05
ZZZZ,T0319,11:14:10,04-JUN-2023,2023-06-04 11:14:10
ZZZZ,T0320,11:14:15,04-JUN-2023,2023-06-04 11:14:15
ZZZZ,T0321,11:14:20,04-JUN-2023,2023-06-04 11:14:20
ZZZZ,T0322,11:14:25,04-JUN-2023,2023-06-04 11:14:25
ZZZZ,T0323,11:14:30,04-JUN-2023,2023-06-04 11:14:30
ZZZZ,T0324,11:14:35,04-JUN-2023,2023-06-04 11:14:35
ZZZZ,T0325,11:14:40,04-JUN-2023,2023-06-04 11:14:40
ZZZZ,T0326,11:14:45,04-JUN-2023,2023-06-04 11:14:45
ZZZZ,T0327,11:14:50,04-JUN-2023,2023-06-04 11:14:50
ZZZZ,T0328,11:14:55,04-JUN-2023,2023-06-04 11:14:55
ZZZZ,T0329,11:15:00,04-JUN-2023,2023-06-04 11:15:00
ZZZZ,T0330,11:15:05,04-JUN-2023,2023-06-04 11:15:05
ZZZZ,T0331,11:15:10,04-JUN-2023,2023-06-04 11:15:10
ZZZZ,T0332,11:15:15,04-JUN-2023,2023-06-04 11:15:15
ZZZZ,T0333,11:15:20,04-JUN-2023,2023-06-04 11:15:20
ZZZZ,T0334,11:15:25,04-JUN-2023,2023-06-04 11:15:25
ZZZZ,T0335,11:15:30,04-JUN-2023,2023-06-04 11:15:30
ZZZZ,T0336,11:15:35,04-JUN-2023,2023-06-04 11:15:35
ZZZZ,T0337,11:15:40,04-JUN-2023,2023-06-04 11:15:40
ZZZZ,T0338,11:15:45,04-JUN-2023,2023-06-04 11:15:45
ZZZZ,T0339,11:15:50,04-JUN-2023,2023-06-04 11:15:50
ZZZZ,T0340,11:15:55,04-JUN-2023,2023-06-04 11:15:55
ZZZZ,T0341,11:16:00,04-JUN-2023,2023-06-04 11:16:00
ZZZZ,T0342,11:16:05,04-JUN-2023,2023-06-04 11:16:05
ZZZZ,T0343,11:16:10,04-JUN-2023,2023-06-04 11:16:10
ZZZZ,T0344,11:16:15,04-JUN-2023,2023-06-04 11:16:15
ZZZZ,T0345,11:16:20,04-JUN-2023,2023-06-04 11:16:20
ZZZZ,T0346,11:16:25,04-JUN-2023,2023-06-04 11:16:25
ZZZZ,T0347,11:16:30,04-JUN-2023,2023-06-04 11:16:30
ZZZZ,T0348,11:16:35,04-JUN-2023,2023-06-04 11:16:35
ZZZZ,T0349,11:16:40,04-JUN-2023,2023-06-04 11:16:40
ZZZZ,T0350,11:16:45,04-JUN-2023,2023-06-04 11:16:45
ZZZZ,T0351,11:16:50,04-JUN-2023,2023-06-04 11:16:50
ZZZZ,T0352,11:16:55,04-JUN-2023,2023-06-04 11:16:55
ZZZZ,T0353,11:17:00,04-JUN-2023,2023-06-04 11:17:00
ZZZZ,T0354,11:17:05,04-JUN-2023,2023-06-04 11:17:05
ZZZZ,T0355,11:17:10,04-JUN-2023,2023-06-04 11:17:10
ZZZZ,T0356,11:17:15,04-JUN-2023,2023-06-04 11:17:15
ZZZZ,T0357,11:17:20,04-JUN-2023,2023-06-04 11:17:20
